Date	Name	Duration	
01.07.2015	Five Tribes	1.25	
01.07.2015	Five Tribes	1.25	
01.07.2015	Five Tribes	1.25	
01.07.2015	Five Tribes	1.25	
02.07.2015	Five Tribes	1.25	
04.07.2015	San Juan	0.5	
05.07.2015	Hive	0.15	
05.07.2015	San Juan	0.5	
05.07.2015	Five Tribes	1.25	
05.07.2015	Eclipse	2	
05.07.2015	Eclipse	2	
05.07.2015	Twilight Struggle	2	
09.07.2015	Hive	0.15	
10.07.2015	Hive	0.15	
11.07.2015	ACBAS	0.75	
11.07.2015	Stone Age	0.75	
11.07.2015	Stone Age	0.75	
11.07.2015	Hive	0.15	
11.07.2015	Hive	0.15	
11.07.2015	Castles of Mad King Ludwig	1	
11.07.2015	Hive	0.15	
11.07.2015	Hive	0.15	
11.07.2015	Hive	0.15	
11.07.2015	Hive	0.15	
12.07.2015	Hive	0.15	
12.07.2015	Hive	0.15	
12.07.2015	Hive	0.15	
12.07.2015	Hive	0.15	
15.07.2015	Lost Cities	0.3	
15.07.2015	Mr. Jack Pocket	0.2	
15.07.2015	Mr. Jack Pocket	0.2	
15.07.2015	Hive	0.15	
15.07.2015	Hive	0.15	
15.07.2015	Lost Cities	0.3	
15.07.2015	Lost Cities	0.3	
16.07.2015	Lost Cities	0.3	
16.07.2015	Lost Cities	0.3	
17.07.2015	7 Wonders	0.75	
18.07.2015	7 Wonders	0.75	
18.07.2015	Hive	0.15	
18.07.2015	Hive	0.15	
18.07.2015	Hive	0.15	
18.07.2015	Love Letter	0.5	
18.07.2015	7 Wonders	0.75	
18.07.2015	Imperial Assault	2	
18.07.2015	Imperial Assault	2	
21.07.2015	Lost Cities	0.3	
21.07.2015	Lost Cities	0.3	
23.07.2015	Citadels	0.5	
23.07.2015	Five Tribes	1.25	
24.07.2015	Super Motherload	1	
25.07.2015	Super Motherload	1	
26.07.2015	Super Motherload	1	
26.07.2015	Lost Cities	0.3	
26.07.2015	Citadels	0.5	
26.07.2015	Mr. Jack Pocket	0.2	
26.07.2015	7 Wonders	0.75	
26.07.2015	Imperial Assault	2	
26.07.2015	Stone Age	0.75	
26.07.2015	Race for the Galaxy	0.5	
27.07.2015	Lord of the Rings - LCG	0.5	
27.07.2015	Lord of the Rings - LCG	0.5	
27.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
28.07.2015	Lord of the Rings - LCG	0.5	
31.07.2015	Imperial Settlers	1	
31.07.2015	Hive	0.15	
31.07.2015	Hive	0.15	
31.07.2015	Hive	0.15	
01.08.2015	Pandemic	1.25	
01.08.2015	Pandemic	1.25	
01.08.2015	Hive	0.15	
01.08.2015	Hive	0.15	
01.08.2015	Hive	0.15	
02.08.2015	Hive	0.15	
02.08.2015	Hive	0.15	
02.08.2015	Hive	0.15	
02.08.2015	Super Motherload	1	
03.08.2015	Super Motherload	1	
04.08.2015	Super Motherload	1	
04.08.2015	Five Tribes	1.25	
05.08.2015	Battle Line	0.25	
05.08.2015	Battle Line	0.25	
05.08.2015	Battle Line	0.25	
06.08.2015	Blokus	0	
06.08.2015	Blokus	0	
06.08.2015	Blokus	0	
06.08.2015	Battle Line	0.25	
06.08.2015	Battle Line	0.25	
06.08.2015	Battle Line	0.25	
06.08.2015	Mage Knight	3	
08.08.2015	Memoir 44	0.5	
08.08.2015	Memoir 44	0.5	
09.08.2015	Mage Knight	3	
09.08.2015	Mage Knight	3	
12.08.2015	Mage Knight	3	
14.08.2015	Mage Knight	3	
15.08.2015	Mage Knight	3	
16.08.2015	Battle Line	0.25	
16.08.2015	Battle Line	0.25	
16.08.2015	Battle Line	0.25	
16.08.2015	Pandemic	1.25	
16.08.2015	Dice Masters	0.25	
16.08.2015	Android: Netrunner	0.5	
16.08.2015	Memoir 44	0.5	
16.08.2015	Puerto Rico	1	
16.08.2015	Mr. Jack	0.6	
16.08.2015	Mr. Jack	0.6	
22.08.2015	Village	2	
23.08.2015	Kaosball	2	
23.08.2015	Specter Ops	1.25	
23.08.2015	Battle Line	0.25	
23.08.2015	Battle Line	0.25	
23.08.2015	Battle Line	0.25	
23.08.2015	Hive	0.15	
23.08.2015	Hive	0.15	
24.08.2015	Hive	0.15	
24.08.2015	Hive	0.15	
24.08.2015	Hive	0.15	
24.08.2015	Battle Line	0.25	
24.08.2015	Battle Line	0.25	
24.08.2015	Battle Line	0.25	
26.08.2015	Battle Line	0.25	
26.08.2015	Battle Line	0.25	
26.08.2015	Battle Line	0.25	
27.08.2015	Hive	0.15	
27.08.2015	Hive	0.15	
27.08.2015	Hive	0.15	
27.08.2015	Specter Ops	1.25	
27.08.2015	Battle Line	0.25	
27.08.2015	Battle Line	0.25	
27.08.2015	Hive	0.15	
27.08.2015	Hive	0.15	
27.08.2015	Hive	0.15	
29.08.2015	Village	2	
30.08.2015	Nothing Personal	2	
04.09.2015	Merchants & Marauders	3	
05.09.2015	San Juan	0.5	
