Date	Name	Duration				
01.01.2017	Sheriff of Nottingham	1.25				
01.01.2017	Colt Express	1.25				
03.01.2017	A Distant Plain	9	Warlords (-1) > Coalition Mad (-2) > Taliban (-6) > Government (-12)			
04.01.2017	Healthy Heart Hospital	1.5	Score: 78			
05.01.2017	Star Realms	0.3	-8			
05.01.2017	Star Realms	0.3	-12			
06.01.2017	Star Realms	0.3	-22			
06.01.2017	Santorini	0.2				
06.01.2017	Patchwork	0.5				
06.01.2017	Splendor	0.4				
06.01.2017	Splendor	0.4				
06.01.2017	Splendor	0.4				
07.01.2017	Star Realms	0.3	-32			
07.01.2017	Star Realms	0.3	-32			
07.01.2017	Star Realms	0.3	24			
11.01.2017	Android: Netrunner	0.6	Sorceror - Supreme	Titan Transnational	win	Medium dig
11.01.2017	Android: Netrunner	0.6	Sorceror - Supreme	Chronos Protocol	lose	too slow
12.01.2017	Vinhos	2.5	75 - 67			
12.01.2017	Terraforming Mars	1	Beginner corp - 82 pts			
12.01.2017	Apex: Theropod	0.4	Therizinosaurus - Velociraptor	lose		
12.01.2017	Apex: Theropod	0.4	Therizinosaurus - Velociraptor	win		
12.01.2017	Arkham Horror - LCG	0.6	Scenario 1: Wendy			
12.01.2017	Android: Netrunner	0.4	Sorceror - Supreme	Palana	lose	Shahasara trashed
12.01.2017	Viticulture	0.5				
12.01.2017	Glass Road	0.7	28 pts (3 glass, 3 brick, 3 sand, 13 buildings, 6 bonus)			
12.01.2017	At the Gates of Loyang	0.8	17.2			
14.01.2017	Imperial Assault	2	Introduction			
14.01.2017	Imperial Assault	2	Story 1 - Under Siege			
14.01.2017	7 Wonders	0.5				
15.01.2017	Scythe	2.5	Polania (85) - Rusviet (64) - Saxony (70) - Nordic (56)			
19.01.2017	Castellion	0.3				
19.01.2017	Castellion	0.2				
19.01.2017	Castellion	0.2				
19.01.2017	Castellion	0.3				
19.01.2017	Castellion	0.2				
19.01.2017	Castellion	0.3				
19.01.2017	Castellion	0.2				
22.01.2017	The Duke	0.3				
22.01.2017	The Duke	0.3				
22.01.2017	The Duke	0.3				
23.01.2017	The Duke	0.3				
23.01.2017	The Duke	0.3				
24.01.2017	The Duke	0.3				
24.01.2017	The Duke	0.3				
26.01.2017	Android: Netrunner	0.2	Sorceror - Supreme	Weyland	lose	BOOM!
26.01.2017	Android: Netrunner	0.3	Sorceror - Supreme	Palana	lose	Bio Ethics
26.01.2017	Android: Netrunner	0.3	Sorceror - Supreme	The Foundry	win	R&D
26.01.2017	Mechs vs Minions	1.5	Mission 1 (normal): win			
26.01.2017	Mechs vs Minions	2.5	Mission 2 (easy): win			
28.01.2017	Camel Cup	0.5				
28.01.2017	Camel Cup	0.5				
28.01.2017	Santorini	0.2				
28.01.2017	Santorini	0.2				
28.01.2017	Santorini	0.2				
28.01.2017	Santorini	0.2				
28.01.2017	Camel Cup	0.5				
28.01.2017	Mechs vs Minions	2	Mission 3 (normal): win			
29.01.2017	Viticulture	2	M - H (win)			
30.01.2017	Mechs vs Minions	1	Mission 4 (normal): win			
31.01.2017	Mechs vs Minions	1.8	Mission 5 (normal): win			
01.02.2017	Scythe	2				
01.02.2017	Sushi Go!	0.2				
01.02.2017	Sushi Go!	0.2				
01.02.2017	Sushi Go!	0.2				
01.02.2017	Love Letter	0.4				
01.02.2017	Splendor	0.3				
01.02.2017	Splendor	0.3				
01.02.2017	Splendor	0.3				
01.02.2017	Splendor	0.3				
01.02.2017	Camel Cup	0.5				
01.02.2017	Camel Cup	0.5				
04.02.2017	The Manhattan Project: Chain Reaction	0.4				
05.02.2017	Star Realms	0.3				
05.02.2017	Nautilion	0.3				
05.02.2017	Nautilion	0.3				
07.02.2017	Mechs vs Minions	2				
07.02.2017	Apex: Theropod	0.6				
09.02.2017	Pandemic: The Cure	0.3				
09.02.2017	Pandemic: The Cure	0.3				
09.02.2017	Terraforming Mars	1				
10.02.2017	Labyrinth	2	Tutorial			
11.02.2017	Star Realms	0.3				
11.02.2017	Star Realms	0.3				
11.02.2017	Onitama	0.3				
11.02.2017	Onitama	0.3				
11.02.2017	Onitama	0.3				
11.02.2017	Raptor	0.3				
11.02.2017	Raptor	0.2				
11.02.2017	Raptor	0.3				
11.02.2017	7 Wonders Duel	0.6				
15.02.2017	Labyrinth	4				
15.02.2017	7 Wonders Duel	0.5				
16.02.2017	7 Wonders Duel	0.5				
16.02.2017	7 Wonders Duel	0.5				
19.02.2017	Mr. Jack Pocket	0.2				
19.02.2017	Mr. Jack Pocket	0.1				
19.02.2017	Mr. Jack Pocket	0.2				
23.02.2017	7 Wonders Duel	0.75				
23.02.2017	Mechs vs Minions	2				
24.02.2017	Nations: The Dice Game	0.3				
24.02.2017	Nations: The Dice Game	0.3				
24.02.2017	Nations: The Dice Game	0.6				
25.02.2017	Scythe	1				
25.02.2017	Scythe	1				
26.02.2017	Star Realms	0.3				
