Name,Cost,Old,Duration,Solo,Sale,Genuine,Delivered,Purchase Prize,Sell Prize,Rating,Want to play
Battle Line,3,3,0.25,No,No,No,Yes,3,,,
Mr. Jack Pocket,1.25,0,0.2,No,No,No,Yes,1.25,,,
Kakerlakenpoker,1,0,0.3,No,No,No,Yes,1,,,
Lost Cities,2,1,0.3,No,Yes,No,Yes,2,,,
Hanabi,10,0,0.4,No,No,No,Yes,10,,,
Mechs vs Minions,21,0,1.5,Yes,No,Yes,Yes,110,89,7,5
Star Realms,15,0,0.3,Yes,No,Yes,Yes,15,,8,7
Gloomhaven,82,0,3,Yes,No,Yes,Yes,82,,9,5
Stone Age,10,5,0.75,No,Yes,No,Yes,10,,,
Patchwork,20,0,0.4,No,No,Yes,Yes,20,,,
Palm Island,16,0,0.2,Yes,No,Yes,Yes,16,,9,8
7 Wonders,7,0,0.75,No,Yes,No,Yes,7,,,
Android: Netrunner,1115,402,0.5,No,No,Yes,Yes,1115,,,
Castles of Burgundy: Dice Game,11,0,0.3,Yes,No,Yes,Yes,11,,8,8
Splendor,22,0,0.5,No,No,No,Yes,22,,,
Sylvion,25,0,0.5,Yes,No,Yes,Yes,25,,8,7
Yinsh,35,0,0.5,No,No,Yes,Yes,35,,,
Warhammer Quest: ACG,47,0,1.5,Yes,No,Yes,Yes,47,,8,7
San Juan,4,0,0.5,No,Yes,No,Yes,4,,,
The Duke,35,0,0.5,No,No,Yes,Yes,35,,,
Pandemic Legacy,60,0,1.25,No,No,Yes,Yes,60,,,
Terraforming Mars,95,0,1,Yes,No,Yes,Yes,95,,9,9
Castles of Mad King Ludwig,50,11,1,No,No,Yes,Yes,50,,,
Castles of Burgundy: Card Game,22,0,0.75,Yes,Yes,Yes,Yes,22,,6,4
Bohnanza,2,0,0.33,No,No,No,Yes,2,,,
Love Letter,12,5,0.5,No,No,Yes,Yes,12,,,
Viticulture,90,0,1,Yes,No,Yes,Yes,90,,8,5
Glass Road,50,0,1,Yes,No,Yes,Yes,50,,8,7
